t_s,Q_m3_s,hm_Ethanol_m_s,hm_Propyl acetate_m_s,hm_1-Propanol_m_s,hm_Isopropanol_m_s
305,0.54,0.00102832,0.000808242,0.000906839,0.000896245
306,0.54,0.00102832,0.000808242,0.000906839,0.000896245
307,0.54,0.00102832,0.000808242,0.000906839,0.000896245
308,0.54,0.00102832,0.000808242,0.000906839,0.000896245
309,0.54,0.00102832,0.000808242,0.000906839,0.000896245
310,0.54,0.00102832,0.000808242,0.000906839,0.000896245
311,0.54,0.00102832,0.000808242,0.000906839,0.000896245
312,0.54,0.00102832,0.000808242,0.000906839,0.000896245
313,0.54,0.00102832,0.000808242,0.000906839,0.000896245
314,0.54,0.00102832,0.000808242,0.000906839,0.000896245
315,0.54,0.00102832,0.000808242,0.000906839,0.000896245
316,0.54,0.00102832,0.000808242,0.000906839,0.000896245
317,0.54,0.00102832,0.000808242,0.000906839,0.000896245
318,0.54,0.00102832,0.000808242,0.000906839,0.000896245
319,0.54,0.00102832,0.000808242,0.000906839,0.000896245
320,0.54,0.00102832,0.000808242,0.000906839,0.000896245
321,0.54,0.00102832,0.000808242,0.000906839,0.000896245
322,0.54,0.00102832,0.000808242,0.000906839,0.000896245
323,0.54,0.00102832,0.000808242,0.000906839,0.000896245
324,0.54,0.00102832,0.000808242,0.000906839,0.000896245
325,0.54,0.00102832,0.000808242,0.000906839,0.000896245
326,0.54,0.00102832,0.000808242,0.000906839,0.000896245
327,0.54,0.00102832,0.000808242,0.000906839,0.000896245
328,0.54,0.00102832,0.000808242,0.000906839,0.000896245
329,0.54,0.00102832,0.000808242,0.000906839,0.000896245
330,0.54,0.00102832,0.000808242,0.000906839,0.000896245
331,0.54,0.00102832,0.000808242,0.000906839,0.000896245
332,0.54,0.00102832,0.000808242,0.000906839,0.000896245
333,0.54,0.00102832,0.000808242,0.000906839,0.000896245
334,0.54,0.00102832,0.000808242,0.000906839,0.000896245
335,0.54,0.00102832,0.000808242,0.000906839,0.000896245
336,0.54,0.00102832,0.000808242,0.000906839,0.000896245
337,0.54,0.00102832,0.000808242,0.000906839,0.000896245
338,0.54,0.00102832,0.000808242,0.000906839,0.000896245
339,0.54,0.00102832,0.000808242,0.000906839,0.000896245
340,0.54,0.00102832,0.000808242,0.000906839,0.000896245
341,0.54,0.00102832,0.000808242,0.000906839,0.000896245
342,0.54,0.00102832,0.000808242,0.000906839,0.000896245
343,0.54,0.00102832,0.000808242,0.000906839,0.000896245
344,0.54,0.00102832,0.000808242,0.000906839,0.000896245
345,0.54,0.00102832,0.000808242,0.000906839,0.000896245
346,0.54,0.00102832,0.000808242,0.000906839,0.000896245
347,0.54,0.00102832,0.000808242,0.000906839,0.000896245
348,0.54,0.00102832,0.000808242,0.000906839,0.000896245
349,0.54,0.00102832,0.000808242,0.000906839,0.000896245
350,0.54,0.00102832,0.000808242,0.000906839,0.000896245
351,0.54,0.00102832,0.000808242,0.000906839,0.000896245
352,0.54,0.00102832,0.000808242,0.000906839,0.000896245
353,0.54,0.00102832,0.000808242,0.000906839,0.000896245
354,0.54,0.00102832,0.000808242,0.000906839,0.000896245
355,0.54,0.00102832,0.000808242,0.000906839,0.000896245
356,0.54,0.00102832,0.000808242,0.000906839,0.000896245
357,0.54,0.00102832,0.000808242,0.000906839,0.000896245
358,0.54,0.00102832,0.000808242,0.000906839,0.000896245
359,0.54,0.00102832,0.000808242,0.000906839,0.000896245
360,0.54,0.00102832,0.000808242,0.000906839,0.000896245
361,0.54,0.00102832,0.000808242,0.000906839,0.000896245
362,0.54,0.00102832,0.000808242,0.000906839,0.000896245
363,0.54,0.00102832,0.000808242,0.000906839,0.000896245
364,0.54,0.00102832,0.000808242,0.000906839,0.000896245
365,0.54,0.00102832,0.000808242,0.000906839,0.000896245
366,0.54,0.00102832,0.000808242,0.000906839,0.000896245
367,0.54,0.00102832,0.000808242,0.000906839,0.000896245
368,0.54,0.00102832,0.000808242,0.000906839,0.000896245
369,0.54,0.00102832,0.000808242,0.000906839,0.000896245
370,0.54,0.00102832,0.000808242,0.000906839,0.000896245
371,0.54,0.00102832,0.000808242,0.000906839,0.000896245
372,0.54,0.00102832,0.000808242,0.000906839,0.000896245
373,0.54,0.00102832,0.000808242,0.000906839,0.000896245
374,0.54,0.00102832,0.000808242,0.000906839,0.000896245
375,0.54,0.00102832,0.000808242,0.000906839,0.000896245
376,0.54,0.00102832,0.000808242,0.000906839,0.000896245
377,0.54,0.00102832,0.000808242,0.000906839,0.000896245
378,0.54,0.00102832,0.000808242,0.000906839,0.000896245
379,0.54,0.00102832,0.000808242,0.000906839,0.000896245
380,0.54,0.00102832,0.000808242,0.000906839,0.000896245
381,0.54,0.00102832,0.000808242,0.000906839,0.000896245
382,0.54,0.00102832,0.000808242,0.000906839,0.000896245
383,0.54,0.00102832,0.000808242,0.000906839,0.000896245
384,0.54,0.00102832,0.000808242,0.000906839,0.000896245
385,0.54,0.00102832,0.000808242,0.000906839,0.000896245
386,0.54,0.00102832,0.000808242,0.000906839,0.000896245
387,0.54,0.00102832,0.000808242,0.000906839,0.000896245
388,0.54,0.00102832,0.000808242,0.000906839,0.000896245
389,0.54,0.00102832,0.000808242,0.000906839,0.000896245
390,0.54,0.00102832,0.000808242,0.000906839,0.000896245
391,0.54,0.00102832,0.000808242,0.000906839,0.000896245
392,0.54,0.00102832,0.000808242,0.000906839,0.000896245
393,0.54,0.00102832,0.000808242,0.000906839,0.000896245
394,0.54,0.00102832,0.000808242,0.000906839,0.000896245
395,0.54,0.00102832,0.000808242,0.000906839,0.000896245
396,0.54,0.00102832,0.000808242,0.000906839,0.000896245
397,0.54,0.00102832,0.000808242,0.000906839,0.000896245
398,0.54,0.00102832,0.000808242,0.000906839,0.000896245
399,0.54,0.00102832,0.000808242,0.000906839,0.000896245
400,0.54,0.00102832,0.000808242,0.000906839,0.000896245
401,0.54,0.00102832,0.000808242,0.000906839,0.000896245
402,0.54,0.00102832,0.000808242,0.000906839,0.000896245
403,0.54,0.00102832,0.000808242,0.000906839,0.000896245
404,0.54,0.00102832,0.000808242,0.000906839,0.000896245
405,0.54,0.00102832,0.000808242,0.000906839,0.000896245
406,0.54,0.00102832,0.000808242,0.000906839,0.000896245
407,0.54,0.00102832,0.000808242,0.000906839,0.000896245
408,0.54,0.00102832,0.000808242,0.000906839,0.000896245
409,0.54,0.00102832,0.000808242,0.000906839,0.000896245
410,0.54,0.00102832,0.000808242,0.000906839,0.000896245
411,0.54,0.00102832,0.000808242,0.000906839,0.000896245
412,0.54,0.00102832,0.000808242,0.000906839,0.000896245
413,0.54,0.00102832,0.000808242,0.000906839,0.000896245
414,0.54,0.00102832,0.000808242,0.000906839,0.000896245
415,0.54,0.00102832,0.000808242,0.000906839,0.000896245
416,0.54,0.00102832,0.000808242,0.000906839,0.000896245
417,0.54,0.00102832,0.000808242,0.000906839,0.000896245
418,0.54,0.00102832,0.000808242,0.000906839,0.000896245
419,0.54,0.00102832,0.000808242,0.000906839,0.000896245
420,0.54,0.00102832,0.000808242,0.000906839,0.000896245
421,0.54,0.00102832,0.000808242,0.000906839,0.000896245
422,0.54,0.00102832,0.000808242,0.000906839,0.000896245
423,0.54,0.00102832,0.000808242,0.000906839,0.000896245
424,0.54,0.00102832,0.000808242,0.000906839,0.000896245
425,0.54,0.00102832,0.000808242,0.000906839,0.000896245
426,0.54,0.00102832,0.000808242,0.000906839,0.000896245
427,0.54,0.00102832,0.000808242,0.000906839,0.000896245
428,0.54,0.00102832,0.000808242,0.000906839,0.000896245
429,0.54,0.00102832,0.000808242,0.000906839,0.000896245
430,0.54,0.00102832,0.000808242,0.000906839,0.000896245
431,0.54,0.00102832,0.000808242,0.000906839,0.000896245
432,0.54,0.00102832,0.000808242,0.000906839,0.000896245
433,0.54,0.00102832,0.000808242,0.000906839,0.000896245
434,0.54,0.00102832,0.000808242,0.000906839,0.000896245
435,0.54,0.00102832,0.000808242,0.000906839,0.000896245
436,0.54,0.00102832,0.000808242,0.000906839,0.000896245
437,0.54,0.00102832,0.000808242,0.000906839,0.000896245
438,0.54,0.00102832,0.000808242,0.000906839,0.000896245
439,0.54,0.00102832,0.000808242,0.000906839,0.000896245
440,0.54,0.00102832,0.000808242,0.000906839,0.000896245
441,0.54,0.00102832,0.000808242,0.000906839,0.000896245
442,0.54,0.00102832,0.000808242,0.000906839,0.000896245
443,0.54,0.00102832,0.000808242,0.000906839,0.000896245
444,0.54,0.00102832,0.000808242,0.000906839,0.000896245
445,0.54,0.00102832,0.000808242,0.000906839,0.000896245
446,0.54,0.00102832,0.000808242,0.000906839,0.000896245
447,0.54,0.00102832,0.000808242,0.000906839,0.000896245
448,0.54,0.00102832,0.000808242,0.000906839,0.000896245
449,0.54,0.00102832,0.000808242,0.000906839,0.000896245
450,0.54,0.00102832,0.000808242,0.000906839,0.000896245
451,0.54,0.00102832,0.000808242,0.000906839,0.000896245
452,0.54,0.00102832,0.000808242,0.000906839,0.000896245
